line,update,reason,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,ko-update,ko-reason,ru-update,ru-reason,vi-update,vi-reason,zh-tw-update,zh-tw-reason,ja-update,ja-reason
256,"The Line 256 will operate the current route between Pasadena (Sierra Madre Villa Station) and Highland Park Station. The low ridership segment of Line 256 between Highland Park Station and Rose Hill Transit Center via Collis Av will be discontinued, with Metro Micro ridershare service available in this area.  Line 665 will extend north from CalState LA to Rose Hill Transit Center with expanded hours of service, replacing Line 256 in this area.","Line 256 will focus on serving the Pasadena - Highland Park segment. Line 665 will extend north, to Rose Hill Transit Center, providing riders improved connections between East LA with El Sereno.",Line 256.jpg,"The Line 256 will operate the current route between Pasadena (Sierra Madre Villa Station) and Highland Park Station. The low ridership segment of Line 256 between Highland Park Station and Rose Hill Transit Center via Collis Av will be discontinued, with Metro Micro ridershare service available in this area.  Line 665 will extend north from CalState LA to Rose Hill Transit Center with expanded hours of service, replacing Line 256 in this area.","Line 256 will focus on serving the Pasadena - Highland Park segment. Line 665 will extend north, to Rose Hill Transit Center, providing riders improved connections between East LA with El Sereno.","The Line 256 will operate the current route between Pasadena (Sierra Madre Villa Station) and Highland Park Station. The low ridership segment of Line 256 between Highland Park Station and Rose Hill Transit Center via Collis Av will be discontinued, with Metro Micro ridershare service available in this area.  Line 665 will extend north from CalState LA to Rose Hill Transit Center with expanded hours of service, replacing Line 256 in this area.","Line 256 will focus on serving the Pasadena - Highland Park segment. Line 665 will extend north, to Rose Hill Transit Center, providing riders improved connections between East LA with El Sereno.","The Line 256 will operate the current route between Pasadena (Sierra Madre Villa Station) and Highland Park Station. The low ridership segment of Line 256 between Highland Park Station and Rose Hill Transit Center via Collis Av will be discontinued, with Metro Micro ridershare service available in this area.  Line 665 will extend north from CalState LA to Rose Hill Transit Center with expanded hours of service, replacing Line 256 in this area.","Line 256 will focus on serving the Pasadena - Highland Park segment. Line 665 will extend north, to Rose Hill Transit Center, providing riders improved connections between East LA with El Sereno.","The Line 256 will operate the current route between Pasadena (Sierra Madre Villa Station) and Highland Park Station. The low ridership segment of Line 256 between Highland Park Station and Rose Hill Transit Center via Collis Av will be discontinued, with Metro Micro ridershare service available in this area.  Line 665 will extend north from CalState LA to Rose Hill Transit Center with expanded hours of service, replacing Line 256 in this area.","Line 256 will focus on serving the Pasadena - Highland Park segment. Line 665 will extend north, to Rose Hill Transit Center, providing riders improved connections between East LA with El Sereno.","The Line 256 will operate the current route between Pasadena (Sierra Madre Villa Station) and Highland Park Station. The low ridership segment of Line 256 between Highland Park Station and Rose Hill Transit Center via Collis Av will be discontinued, with Metro Micro ridershare service available in this area.  Line 665 will extend north from CalState LA to Rose Hill Transit Center with expanded hours of service, replacing Line 256 in this area.","Line 256 will focus on serving the Pasadena - Highland Park segment. Line 665 will extend north, to Rose Hill Transit Center, providing riders improved connections between East LA with El Sereno.","The Line 256 will operate the current route between Pasadena (Sierra Madre Villa Station) and Highland Park Station. The low ridership segment of Line 256 between Highland Park Station and Rose Hill Transit Center via Collis Av will be discontinued, with Metro Micro ridershare service available in this area.  Line 665 will extend north from CalState LA to Rose Hill Transit Center with expanded hours of service, replacing Line 256 in this area.","Line 256 will focus on serving the Pasadena - Highland Park segment. Line 665 will extend north, to Rose Hill Transit Center, providing riders improved connections between East LA with El Sereno.","The Line 256 will operate the current route between Pasadena (Sierra Madre Villa Station) and Highland Park Station. The low ridership segment of Line 256 between Highland Park Station and Rose Hill Transit Center via Collis Av will be discontinued, with Metro Micro ridershare service available in this area.  Line 665 will extend north from CalState LA to Rose Hill Transit Center with expanded hours of service, replacing Line 256 in this area.","Line 256 will focus on serving the Pasadena - Highland Park segment. Line 665 will extend north, to Rose Hill Transit Center, providing riders improved connections between East LA with El Sereno.","The Line 256 will operate the current route between Pasadena (Sierra Madre Villa Station) and Highland Park Station. The low ridership segment of Line 256 between Highland Park Station and Rose Hill Transit Center via Collis Av will be discontinued, with Metro Micro ridershare service available in this area.  Line 665 will extend north from CalState LA to Rose Hill Transit Center with expanded hours of service, replacing Line 256 in this area.","Line 256 will focus on serving the Pasadena - Highland Park segment. Line 665 will extend north, to Rose Hill Transit Center, providing riders improved connections between East LA with El Sereno."
256,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
258,"At the CalState LA Transit Center, Line 258 will be reassigned to Bay 2, sharing this bay with Line 665.",This change will accommodate the much requested extension of Montebello Bus Line 10 to CalState LA.,Line 258.jpg,"At the CalState LA Transit Center, Line 258 will be reassigned to Bay 2, sharing this bay with Line 665.",This change will accommodate the much requested extension of Montebello Bus Line 10 to CalState LA.,"At the CalState LA Transit Center, Line 258 will be reassigned to Bay 2, sharing this bay with Line 665.",This change will accommodate the much requested extension of Montebello Bus Line 10 to CalState LA.,"At the CalState LA Transit Center, Line 258 will be reassigned to Bay 2, sharing this bay with Line 665.",This change will accommodate the much requested extension of Montebello Bus Line 10 to CalState LA.,"At the CalState LA Transit Center, Line 258 will be reassigned to Bay 2, sharing this bay with Line 665.",This change will accommodate the much requested extension of Montebello Bus Line 10 to CalState LA.,"At the CalState LA Transit Center, Line 258 will be reassigned to Bay 2, sharing this bay with Line 665.",This change will accommodate the much requested extension of Montebello Bus Line 10 to CalState LA.,"At the CalState LA Transit Center, Line 258 will be reassigned to Bay 2, sharing this bay with Line 665.",This change will accommodate the much requested extension of Montebello Bus Line 10 to CalState LA.,"At the CalState LA Transit Center, Line 258 will be reassigned to Bay 2, sharing this bay with Line 665.",This change will accommodate the much requested extension of Montebello Bus Line 10 to CalState LA.,"At the CalState LA Transit Center, Line 258 will be reassigned to Bay 2, sharing this bay with Line 665.",This change will accommodate the much requested extension of Montebello Bus Line 10 to CalState LA.
260,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
265,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
267,"Line 267 will extend north from Del Mar Station to Raymond & Walnut to connect with Lines 180, 256, LADOT Commuter Express 549, and the Memorial Park Station.",This change is in response to rider requests for improved connections between Line 267 and other bus lines at Pasadena.,Line 267.jpg,"Line 267 will extend north from Del Mar Station to Raymond & Walnut to connect with Lines 180, 256, LADOT Commuter Express 549, and the Memorial Park Station.",This change is in response to rider requests for improved connections between Line 267 and other bus lines at Pasadena.,"Line 267 will extend north from Del Mar Station to Raymond & Walnut to connect with Lines 180, 256, LADOT Commuter Express 549, and the Memorial Park Station.",This change is in response to rider requests for improved connections between Line 267 and other bus lines at Pasadena.,"Line 267 will extend north from Del Mar Station to Raymond & Walnut to connect with Lines 180, 256, LADOT Commuter Express 549, and the Memorial Park Station.",This change is in response to rider requests for improved connections between Line 267 and other bus lines at Pasadena.,"Line 267 will extend north from Del Mar Station to Raymond & Walnut to connect with Lines 180, 256, LADOT Commuter Express 549, and the Memorial Park Station.",This change is in response to rider requests for improved connections between Line 267 and other bus lines at Pasadena.,"Line 267 will extend north from Del Mar Station to Raymond & Walnut to connect with Lines 180, 256, LADOT Commuter Express 549, and the Memorial Park Station.",This change is in response to rider requests for improved connections between Line 267 and other bus lines at Pasadena.,"Line 267 will extend north from Del Mar Station to Raymond & Walnut to connect with Lines 180, 256, LADOT Commuter Express 549, and the Memorial Park Station.",This change is in response to rider requests for improved connections between Line 267 and other bus lines at Pasadena.,"Line 267 will extend north from Del Mar Station to Raymond & Walnut to connect with Lines 180, 256, LADOT Commuter Express 549, and the Memorial Park Station.",This change is in response to rider requests for improved connections between Line 267 and other bus lines at Pasadena.,"Line 267 will extend north from Del Mar Station to Raymond & Walnut to connect with Lines 180, 256, LADOT Commuter Express 549, and the Memorial Park Station.",This change is in response to rider requests for improved connections between Line 267 and other bus lines at Pasadena.
267,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
344,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
460,Sunday schedules have been updated.,Improved reliability,,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability,Sunday schedules have been updated.,Improved reliability
501,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
550,"Schedule changes to Line 550 to improve connections with Lines 205, 246.","This change is in response to rider requests for improved connections between Line 550 and Lines 205, 246 at Harbor Gateway Transit Center.",,"Schedule changes to Line 550 to improve connections with Lines 205, 246.","This change is in response to rider requests for improved connections between Line 550 and Lines 205, 246 at Harbor Gateway Transit Center.","Schedule changes to Line 550 to improve connections with Lines 205, 246.","This change is in response to rider requests for improved connections between Line 550 and Lines 205, 246 at Harbor Gateway Transit Center.","Schedule changes to Line 550 to improve connections with Lines 205, 246.","This change is in response to rider requests for improved connections between Line 550 and Lines 205, 246 at Harbor Gateway Transit Center.","Schedule changes to Line 550 to improve connections with Lines 205, 246.","This change is in response to rider requests for improved connections between Line 550 and Lines 205, 246 at Harbor Gateway Transit Center.","Schedule changes to Line 550 to improve connections with Lines 205, 246.","This change is in response to rider requests for improved connections between Line 550 and Lines 205, 246 at Harbor Gateway Transit Center.","Schedule changes to Line 550 to improve connections with Lines 205, 246.","This change is in response to rider requests for improved connections between Line 550 and Lines 205, 246 at Harbor Gateway Transit Center.","Schedule changes to Line 550 to improve connections with Lines 205, 246.","This change is in response to rider requests for improved connections between Line 550 and Lines 205, 246 at Harbor Gateway Transit Center.","Schedule changes to Line 550 to improve connections with Lines 205, 246.","This change is in response to rider requests for improved connections between Line 550 and Lines 205, 246 at Harbor Gateway Transit Center."
665,"Line 665 extended north from Cal State LA to Rose Hill Transit Center via Eastern Av, with expanded hours of service and a new southern terminus at the market at Calada St/Olympic Bl.",This change is in response to rider requests for improved connections between East LA and El Sereno.,Line 665.jpg,"Line 665 extended north from Cal State LA to Rose Hill Transit Center via Eastern Av, with expanded hours of service and a new southern terminus at the market at Calada St/Olympic Bl.",This change is in response to rider requests for improved connections between East LA and El Sereno.,"Line 665 extended north from Cal State LA to Rose Hill Transit Center via Eastern Av, with expanded hours of service and a new southern terminus at the market at Calada St/Olympic Bl.",This change is in response to rider requests for improved connections between East LA and El Sereno.,"Line 665 extended north from Cal State LA to Rose Hill Transit Center via Eastern Av, with expanded hours of service and a new southern terminus at the market at Calada St/Olympic Bl.",This change is in response to rider requests for improved connections between East LA and El Sereno.,"Line 665 extended north from Cal State LA to Rose Hill Transit Center via Eastern Av, with expanded hours of service and a new southern terminus at the market at Calada St/Olympic Bl.",This change is in response to rider requests for improved connections between East LA and El Sereno.,"Line 665 extended north from Cal State LA to Rose Hill Transit Center via Eastern Av, with expanded hours of service and a new southern terminus at the market at Calada St/Olympic Bl.",This change is in response to rider requests for improved connections between East LA and El Sereno.,"Line 665 extended north from Cal State LA to Rose Hill Transit Center via Eastern Av, with expanded hours of service and a new southern terminus at the market at Calada St/Olympic Bl.",This change is in response to rider requests for improved connections between East LA and El Sereno.,"Line 665 extended north from Cal State LA to Rose Hill Transit Center via Eastern Av, with expanded hours of service and a new southern terminus at the market at Calada St/Olympic Bl.",This change is in response to rider requests for improved connections between East LA and El Sereno.,"Line 665 extended north from Cal State LA to Rose Hill Transit Center via Eastern Av, with expanded hours of service and a new southern terminus at the market at Calada St/Olympic Bl.",This change is in response to rider requests for improved connections between East LA and El Sereno.
665,Line 665 will establish a new southern terminus at the market at Calada St/Olympic Bl,Align with ridership levels,,Line 665 will establish a new southern terminus at the market at Calada St/Olympic Bl,Align with ridership levels,Line 665 will establish a new southern terminus at the market at Calada St/Olympic Bl,Align with ridership levels,Line 665 will establish a new southern terminus at the market at Calada St/Olympic Bl,Align with ridership levels,Line 665 will establish a new southern terminus at the market at Calada St/Olympic Bl,Align with ridership levels,Line 665 will establish a new southern terminus at the market at Calada St/Olympic Bl,Align with ridership levels,Line 665 will establish a new southern terminus at the market at Calada St/Olympic Bl,Align with ridership levels,Line 665 will establish a new southern terminus at the market at Calada St/Olympic Bl,Align with ridership levels,Line 665 will establish a new southern terminus at the market at Calada St/Olympic Bl,Align with ridership levels
720,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
761,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
854,The L Line Shuttle between LA Union Station and Pico Aliso Station will cease operation.,This shuttle bus was established while the L Line Light Rail was truncated due to Regional Connector construction. This shuttle is no longer required with the opening of Regional Connector.,,The L Line Shuttle between LA Union Station and Pico Aliso Station will cease operation.,This shuttle bus was established while the L Line Light Rail was truncated due to Regional Connector construction. This shuttle is no longer required with the opening of Regional Connector.,The L Line Shuttle between LA Union Station and Pico Aliso Station will cease operation.,This shuttle bus was established while the L Line Light Rail was truncated due to Regional Connector construction. This shuttle is no longer required with the opening of Regional Connector.,The L Line Shuttle between LA Union Station and Pico Aliso Station will cease operation.,This shuttle bus was established while the L Line Light Rail was truncated due to Regional Connector construction. This shuttle is no longer required with the opening of Regional Connector.,The L Line Shuttle between LA Union Station and Pico Aliso Station will cease operation.,This shuttle bus was established while the L Line Light Rail was truncated due to Regional Connector construction. This shuttle is no longer required with the opening of Regional Connector.,The L Line Shuttle between LA Union Station and Pico Aliso Station will cease operation.,This shuttle bus was established while the L Line Light Rail was truncated due to Regional Connector construction. This shuttle is no longer required with the opening of Regional Connector.,The L Line Shuttle between LA Union Station and Pico Aliso Station will cease operation.,This shuttle bus was established while the L Line Light Rail was truncated due to Regional Connector construction. This shuttle is no longer required with the opening of Regional Connector.,The L Line Shuttle between LA Union Station and Pico Aliso Station will cease operation.,This shuttle bus was established while the L Line Light Rail was truncated due to Regional Connector construction. This shuttle is no longer required with the opening of Regional Connector.,The L Line Shuttle between LA Union Station and Pico Aliso Station will cease operation.,This shuttle bus was established while the L Line Light Rail was truncated due to Regional Connector construction. This shuttle is no longer required with the opening of Regional Connector.
901,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
910,Additional Line 910 trip added early AM Saturday and Sunday northbound from Harbor Gateway Transit Center to El Monte Station,"In response to rider requests, an extra Line 910 northbound trip is added early morning on weekends with a convenient connection from northbound Line 246 at Harbor Gateway Transit Center.",,Additional Line 910 trip added early AM Saturday and Sunday northbound from Harbor Gateway Transit Center to El Monte Station,"In response to rider requests, an extra Line 910 northbound trip is added early morning on weekends with a convenient connection from northbound Line 246 at Harbor Gateway Transit Center.",Additional Line 910 trip added early AM Saturday and Sunday northbound from Harbor Gateway Transit Center to El Monte Station,"In response to rider requests, an extra Line 910 northbound trip is added early morning on weekends with a convenient connection from northbound Line 246 at Harbor Gateway Transit Center.",Additional Line 910 trip added early AM Saturday and Sunday northbound from Harbor Gateway Transit Center to El Monte Station,"In response to rider requests, an extra Line 910 northbound trip is added early morning on weekends with a convenient connection from northbound Line 246 at Harbor Gateway Transit Center.",Additional Line 910 trip added early AM Saturday and Sunday northbound from Harbor Gateway Transit Center to El Monte Station,"In response to rider requests, an extra Line 910 northbound trip is added early morning on weekends with a convenient connection from northbound Line 246 at Harbor Gateway Transit Center.",Additional Line 910 trip added early AM Saturday and Sunday northbound from Harbor Gateway Transit Center to El Monte Station,"In response to rider requests, an extra Line 910 northbound trip is added early morning on weekends with a convenient connection from northbound Line 246 at Harbor Gateway Transit Center.",Additional Line 910 trip added early AM Saturday and Sunday northbound from Harbor Gateway Transit Center to El Monte Station,"In response to rider requests, an extra Line 910 northbound trip is added early morning on weekends with a convenient connection from northbound Line 246 at Harbor Gateway Transit Center.",Additional Line 910 trip added early AM Saturday and Sunday northbound from Harbor Gateway Transit Center to El Monte Station,"In response to rider requests, an extra Line 910 northbound trip is added early morning on weekends with a convenient connection from northbound Line 246 at Harbor Gateway Transit Center.",Additional Line 910 trip added early AM Saturday and Sunday northbound from Harbor Gateway Transit Center to El Monte Station,"In response to rider requests, an extra Line 910 northbound trip is added early morning on weekends with a convenient connection from northbound Line 246 at Harbor Gateway Transit Center."
910,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels
